Код зоны;Зона;ИД ячейки;Ячейка;Директория;ШК
TradeFloor;Торговый зал;1;ТОРГОВЫЙ ЗАЛ;ТОРГОВЫЙ ЗАЛ->->->;STL000000010003
ServiceZone;Сервисная зона;10;СЕРВИСНАЯ ЗОНА;СЕРВИСНАЯ ЗОНА->->->;STL000000100010
GoodsOut;Отгрузка;6;ОТГРУЗКА;ОТГРУЗКА->->->;STL000000060008
GoodsIn;Приемка;7;ПРИЁМКА;ПРИЁМКА->->->;STL000000070007
Inspection;Осмотр;9;ОСМОТР;ОСМОТР->->->;STL000000090004
Main;Основной склад;15;ОСНОВНОЙ СКЛАД;ОСНОВНОЙ СКЛАД->->->;STL000000150001
Main;Основной склад;13106;Л;Л->ОСНОВНОЙ СКЛАД->->;STL000131060001
Main;Основной склад;13107;Л-С01;Л-С01->Л->ОСНОВНОЙ СКЛАД->;STL000131070001
Main;Основной склад;13108;Л-С01-1;Л-С01-1->Л-С01->Л->ОСНОВНОЙ СКЛАД;STL000131080001
Main;Основной склад;13109;Л-С01-2;Л-С01-2->Л-С01->Л->ОСНОВНОЙ СКЛАД;STL000131090001
Main;Основной склад;13110;Л-С01-3;Л-С01-3->Л-С01->Л->ОСНОВНОЙ СКЛАД;STL000131100001
Main;Основной склад;13111;Л-С01-4;Л-С01-4->Л-С01->Л->ОСНОВНОЙ СКЛАД;STL000131110001
Main;Основной склад;13112;Л-С01-5;Л-С01-5->Л-С01->Л->ОСНОВНОЙ СКЛАД;STL000131120001
Main;Основной склад;13113;Л-С01-6;Л-С01-6->Л-С01->Л->ОСНОВНОЙ СКЛАД;STL000131130001
Main;Основной склад;13114;Л-С01-7;Л-С01-7->Л-С01->Л->ОСНОВНОЙ СКЛАД;STL000131140001
Main;Основной склад;13115;Л-С01-8;Л-С01-8->Л-С01->Л->ОСНОВНОЙ СКЛАД;STL000131150001
Main;Основной склад;13116;Л-С01-9;Л-С01-9->Л-С01->Л->ОСНОВНОЙ СКЛАД;STL000131160001
Main;Основной склад;13117;Л-С02;Л-С02->Л->ОСНОВНОЙ СКЛАД->;STL000131170001
Main;Основной склад;13118;Л-С02-1;Л-С02-1->Л-С02->Л->ОСНОВНОЙ СКЛАД;STL000131180001
Main;Основной склад;13119;Л-С02-2;Л-С02-2->Л-С02->Л->ОСНОВНОЙ СКЛАД;STL000131190001
Main;Основной склад;13120;Л-С02-3;Л-С02-3->Л-С02->Л->ОСНОВНОЙ СКЛАД;STL000131200001
Main;Основной склад;13121;Л-С02-4;Л-С02-4->Л-С02->Л->ОСНОВНОЙ СКЛАД;STL000131210001
Main;Основной склад;13122;Л-С02-5;Л-С02-5->Л-С02->Л->ОСНОВНОЙ СКЛАД;STL000131220001
Main;Основной склад;13123;Л-С02-6;Л-С02-6->Л-С02->Л->ОСНОВНОЙ СКЛАД;STL000131230001
Main;Основной склад;13124;Л-С02-7;Л-С02-7->Л-С02->Л->ОСНОВНОЙ СКЛАД;STL000131240001
Main;Основной склад;13125;Л-С02-8;Л-С02-8->Л-С02->Л->ОСНОВНОЙ СКЛАД;STL000131250001
Main;Основной склад;13126;Л-С02-9;Л-С02-9->Л-С02->Л->ОСНОВНОЙ СКЛАД;STL000131260001
Main;Основной склад;13127;Л-С03;Л-С03->Л->ОСНОВНОЙ СКЛАД->;STL000131270001
Main;Основной склад;13128;Л-С03-1;Л-С03-1->Л-С03->Л->ОСНОВНОЙ СКЛАД;STL000131280001
Main;Основной склад;13129;Л-С03-2;Л-С03-2->Л-С03->Л->ОСНОВНОЙ СКЛАД;STL000131290001
Main;Основной склад;13130;Л-С03-3;Л-С03-3->Л-С03->Л->ОСНОВНОЙ СКЛАД;STL000131300001
Main;Основной склад;13131;Л-С03-4;Л-С03-4->Л-С03->Л->ОСНОВНОЙ СКЛАД;STL000131310001
Main;Основной склад;13132;Л-С03-5;Л-С03-5->Л-С03->Л->ОСНОВНОЙ СКЛАД;STL000131320001
Main;Основной склад;13133;Л-С03-6;Л-С03-6->Л-С03->Л->ОСНОВНОЙ СКЛАД;STL000131330001
Main;Основной склад;13134;Л-С03-7;Л-С03-7->Л-С03->Л->ОСНОВНОЙ СКЛАД;STL000131340001
Main;Основной склад;13135;Л-С03-8;Л-С03-8->Л-С03->Л->ОСНОВНОЙ СКЛАД;STL000131350001
Main;Основной склад;13136;Л-С03-9;Л-С03-9->Л-С03->Л->ОСНОВНОЙ СКЛАД;STL000131360001
Main;Основной склад;13137;Л-С04;Л-С04->Л->ОСНОВНОЙ СКЛАД->;STL000131370001
Main;Основной склад;13138;Л-С04-1;Л-С04-1->Л-С04->Л->ОСНОВНОЙ СКЛАД;STL000131380001
Main;Основной склад;13139;Л-С04-2;Л-С04-2->Л-С04->Л->ОСНОВНОЙ СКЛАД;STL000131390001
Main;Основной склад;13140;Л-С04-3;Л-С04-3->Л-С04->Л->ОСНОВНОЙ СКЛАД;STL000131400001
Main;Основной склад;13141;Л-С04-4;Л-С04-4->Л-С04->Л->ОСНОВНОЙ СКЛАД;STL000131410001
Main;Основной склад;13142;Л-С04-5;Л-С04-5->Л-С04->Л->ОСНОВНОЙ СКЛАД;STL000131420001
Main;Основной склад;13143;Л-С04-6;Л-С04-6->Л-С04->Л->ОСНОВНОЙ СКЛАД;STL000131430001
